Date,Year,Ships,Country,Sorties_D0,Sorties_Total_5d,Sorties_Prev_5d,Increase,Unnamed: 8,Ship_Type,Hull_Number,Mission_Note,Date_Precision,Date_Note,Source,Country_Confidence,
2026/1/16,2026,美國約翰·芬號（DDG 113）和探路者級海洋調查船瑪麗·西爾斯”號（T-AGS 65）,US,,,,,https://news.usni.org/2026/01/17/u-s-destroyer-survey-vessel-conduct-first-taiwan-strait-transit-of-2026-say-chinese-officials,飛彈驅逐艦、海洋測量船,"DDG-113, T-AGS 65",2026 年美軍首度雙艦穿越台海。芬恩號具防空與反潛能力；瑪麗西爾斯號執行水下數據與環境監測。,range,1月16日－17日,媒體報導,medium,
2026/2/8,2026,7艘共艦台海周邊活動國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202602080017.aspx,,,,,,,,
2026/2/20,2026,"澳洲皇家海軍巡防衛艦「土烏巴號」（HMAS Toowoomba, FFH 156）現蹤台海",Australia,,,,,https://def.ltn.com.tw/article/breakingnews/5346751,巡防衛艦,FFH-156,,exact,,,high,
2026/2/22,2026,澳洲軍艦通過台海國防部：國際水域享有航行權利,Australia,,,,,https://www.cna.com.tw/news/aipl/202602220153.aspx,,,,exact,,,medium,
2026/3/2,2026,5艘共艦台海周邊活動國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202603020040.aspx,,,,,,,,
2026/3/3,2026,5艘中共軍艦台海周邊活動國軍嚴密監控應處,CN,,,,,https://www.cna.com.tw/news/aipl/202603030041.aspx,,,,,,,,
2026/3/5,2026,6艘共艦2艘公務船擾台國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202603050044.aspx,,,,,,,,
2026/3/9,2026,8艘共艦擾台國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202603090036.aspx,,,,,,,,
2026/3/11,2026,6艘共艦侵擾台灣中共13日發射運載火箭,CN,,,,,https://www.cna.com.tw/news/aipl/202603110039.aspx,,,,,,,,
2026/4/17,2026,"雷號（JS Ikazuchi, DD-107）",JP,,,,,,村雨級護衛艦（驅逐艦）,DD-107,海上自衛隊時隔 10 個月再度派艦穿越台海。通過後南下前往南海參加美菲聯合軍演。,exact,4月17日,媒體報導,high,
2026/6/23,2026,中共航艦福建號航經台灣海峽國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202606230350.aspx,,,,,,,,
2026/6/29,2026,中共軍艦公務船於台海周邊活動國軍嚴密監控,CN,,,,,https://www.cna.com.tw/news/aipl/202606290040.aspx,,,,,,,,
2026/7/4,2026,中國海警續派艦艇出沒台海東部海巡2艦併航監控,CN,,,,,https://www.cna.com.tw/news/acn/202607040050.aspx,,,,,,,,
2026/7/15,2026,"亨森號（USNS Henson, T-AGS 63）",US,,,,,,探路者級海洋調查船,T-AGS 63,由南向北駛入台灣海峽，搭載多波束聲納等精密儀器蒐集水文數據，引發共軍派遣直升機跟監應對。,approximate,7月中旬（確切日期待確認）,媒體報導,high,
2026/8/22,2026,美國第七艦隊證實P-8A軍機飛越台海,US,,,,,,,,,exact,,新聞自動分類,medium,https://www.cna.com.tw/news/aopl/202608220025.aspx
